"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10413,21,1,1,1,1,2,2,3,5,3,4,3,2,"4","4.1",1,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824,10413
10414,5,1,1,0,1,3,1,5,2,3,4,4,1,"4","4.1",1,1,3.8,1.8,4,1.8,2.8,4,3.6,1.6,10414
10414,5,1,1,1,1,4,2,4,2,3,4,4,1,"4","4.1",2,1,3.8,1.8,4,1.8,2.8,4,3.6,1.6,10414
10422,6,1,1,1,1,5,2,3,1,2,3,3,3,"4","4.1",1,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771,10422
10423,5,1,1,1,1,2,1,5,1,4,4,4,2,"4","4.1",1,1.66666666666667,2.6,1.6,4.4,1,3.2,4,4.2,2,10423
10436,9,1,1,1,2,2,1,4,1,4,4,4,1,"4","4.1",1,1.33333333333333,2.55555555555556,2.33333333333333,3.33333333333333,1.22222222222222,3.11111111111111,3.44444444444444,3.55555555555556,1.55555555555556,10436
10437,44,1,1,0,1,2,2,4,1,5,4,4,2,"4","4.1",1,1.44776119402985,2.79285714285714,2.5,3.94285714285714,1.27857142857143,3.26428571428571,4.14925373134328,3.73571428571429,2.03571428571429,10437
10440,10,1,1,0,1,5,3,4,1,1,1,4,1,"4","4.1",1,1.125,2.875,3.25,3.375,1,2,2.5,2.5,1,10440
10441,22,1,1,0,1.15384615384615,3,4,3,2,2,2.76923076923077,4,4,"4","4.1",1,1.15384615384615,4.18181818181818,3.18181818181818,2.45454545454545,2.45454545454545,2.09090909090909,2.76923076923077,3.40909090909091,3.77272727272727,10441
10445,35,1,1,1,1,3,1,4,2,4,4,5,2,"4","4.1",1,1.18367346938776,3.40740740740741,2.24074074074074,3.2037037037037,1.44444444444444,3.75925925925926,4.3265306122449,4.61111111111111,2.7962962962963,10445
10447,19,1,1,0,1,1,1,5,1,5,5,5,1,"4","4.1",1,1,3.02702702702703,1.86486486486486,4.83783783783784,1,3.62162162162162,4.80769230769231,4.94594594594595,1.16216216216216,10447
10449,48,1,1,0,2,4,1,4,2,3,4,5,1,"4","4.1",1,1.18333333333333,2.53731343283582,1.58208955223881,3.86567164179104,1.11940298507463,3.59701492537313,3.95,4.56716417910448,1.49253731343284,10449
