"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10217,59,1,1,1,1,4,1,2,3,2,3,5,2,1,1.03507728894174,3.31034482758621,1.74137931034483,2.55172413793103,1.46551724137931,1.67241379310345,2.2627824019025,4.8448275862069,2.62068965517241,10217
10210,30,1,1,0,1,5,1,4,1,2,2,5,2,2,1.45454545454545,4.1,2.1,4.06666666666667,1.43333333333333,2.03333333333333,3.5,4.03333333333333,1.66666666666667,10210
10212,51,1,1,1,1,5,2,5,1,1,4,5,1,1,1.13793103448276,3.72549019607843,1.88235294117647,3.72549019607843,1.03921568627451,2.2156862745098,4.37931034482759,4.05882352941176,1.74509803921569,10212
10207,2,1,1,1,2,4,2,4,4,3,3,4,2,1,2.5,3.5,2,4,4.5,2.5,2.5,3,2.5,10207
10206,38,1,1,1,1,4,1,4,1,2,1,5,1,1,1.48387096774194,3.28947368421053,2.39473684210526,3.78947368421053,1.28947368421053,2.97368421052632,3.32258064516129,4.13157894736842,1.89473684210526,10206
10204,17,1,1,1,1,5,5,5,1,1,3,5,3,1,1.25,2.76470588235294,3.35294117647059,4.41176470588235,1.29411764705882,2.70588235294118,3.625,3.41176470588235,1.35294117647059,10204
10200,22,1,1,1,1,2,2,3,1,4,3,4,2,1,1,3.04545454545455,1.72727272727273,3.81818181818182,1.31818181818182,2.40909090909091,3.53333333333333,4.13636363636364,1.22727272727273,10200
10205,19,1,1,1,1,3,1,3,1,3,2,3,1,1,1,3.36842105263158,1.89473684210526,3.05263157894737,1,2.47368421052632,2.15384615384615,3.42105263157895,1.21052631578947,10205
10192,1,1,1,1,1,5,1,5,1,1,4,5,1,1,1,5,1,5,1,1,4,5,1,10192
10193,44,1,1,1,2,4,2,2,2,2,3,4,2,1,2.1969696969697,3.33333333333333,3.09090909090909,2.87878787878788,2.75757575757576,2.60606060606061,2.55477855477855,2.81818181818182,2.84848484848485,10193
